,Date,Nifty 50 Adj Close,Nifty 50 Returns,Dow Jones Index Adj Close,Dow Jones Index Returns,Nasdaq Adj Close,Nasdaq Returns,Hang Seng Adj Close,Hang Seng Returns,Nikkei 225 Adj Close,Nikkei 225 Returns,DAX Adj Close,DAX Returns,Year
0,2018-01-05,10558.849609375,0.5145248428569005,25295.869140625,0.8803075943568661,7136.56005859375,0.8286330434974509,30814.640625,0.2542911714614293,23714.529296875,0.885715541550014,13319.6396484375,1.1524246029659402,2018
1,2018-01-08,10623.599609375,0.6132296831134809,25283.0,-0.0508744750119416,7157.39013671875,0.2918784113631334,30899.529296875,0.275481622219953,23714.529296875,0.885715541550014,13367.7802734375,0.3614258814099935,2018
2,2018-01-09,10637.0,0.1261379486965363,25385.80078125,0.4066004083771668,7163.580078125,0.0864832192742248,31011.41015625,0.3620794941569416,23849.990234375,0.5712149535173294,13385.58984375,0.1332275811556371,2018
3,2018-01-10,10632.2001953125,-0.0451236691501377,25369.130859375,-0.0656663227551646,7153.56982421875,-0.139738144853263,31073.720703125,0.200927808703466,23788.19921875,-0.2590819326036442,13281.33984375,-0.7788226086180017,2018
4,2018-01-11,10651.2001953125,0.178702428951416,25574.73046875,0.8104322158873689,7211.77978515625,0.81371905730796,31120.390625,0.1501909678627733,23710.4296875,-0.3269248358602206,13202.900390625,-0.5905989459483063,2018
5,2018-01-12,10681.25,0.282125996474325,25803.189453125,0.8932996758427514,7261.06005859375,0.683330258349435,31412.5390625,0.938768542530144,23653.8203125,-0.2387530540192806,13245.0302734375,0.3190956650889864,2018
6,2018-01-15,10741.5498046875,0.5645388385020489,25803.189453125,0.8932996758427514,7261.06005859375,0.683330258349435,31338.869140625,-0.2345239323966241,23714.880859375,0.2581424314056058,13200.509765625,-0.3361299060356537,2018
7,2018-01-16,10700.4501953125,-0.3826227138756466,25792.859375,-0.0400341133942605,7223.68994140625,-0.5146647581198649,31904.75,1.8056837240544965,23951.810546875,0.9990760185764724,13246.330078125,0.3471101746337135,2018
8,2018-01-17,10788.5498046875,0.8233261943837888,26115.650390625,1.2514743361019764,7298.27978515625,1.0325726097745402,31983.41015625,0.2465468503906054,23868.33984375,-0.3484943359987058,13183.9599609375,-0.4708482788791324,2018
9,2018-01-18,10817.0,0.2637073177355065,26017.810546875,-0.3746406552644132,7296.0498046875,-0.0305548777848385,32121.939453125,0.4331286007284385,23763.369140625,-0.4397905502107502,13281.4296875,0.7393053896651125,2018
